headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
-0.178,0,0.866,0.134,0,0.997,0.096,0.857,0.047,4
-0.625,0,0.579,0.421,0,-0.996,0.025,0.866,0.109,5
0,0,1,0,0,0.998,0.115,0.839,0.046,3
0.351,0.197,0.803,0,1,0.993,0.126,0.796,0.078,5
-0.296,0,0.694,0.306,0,0.737,0.095,0.824,0.081,2
0,0,1,0,0,-0.83,0.059,0.868,0.073,3
0,0,1,0,0,0.997,0.118,0.817,0.065,4
-0.477,0,0.721,0.279,0,0.969,0.092,0.841,0.067,2
0.554,0.314,0.686,0,0,0.985,0.12,0.791,0.09,3
0.318,0.187,0.813,0,0,-0.904,0.099,0.798,0.103,2
0.402,0.213,0.787,0,0,0.977,0.093,0.85,0.057,2
0,0,1,0,0,0.998,0.108,0.837,0.055,10
0,0,1,0,0,-0.997,0.072,0.816,0.113,1
0,0,1,0,0,-0.313,0.066,0.87,0.064,5
-0.226,0,0.826,0.174,0,-0.999,0.065,0.783,0.152,4
0,0,1,0,0,-0.988,0.085,0.813,0.101,7
0,0,1,0,0,-0.962,0.076,0.834,0.09,4
-0.649,0,0.619,0.381,0,-0.997,0.073,0.768,0.16,5
0.296,0.196,0.804,0,0,-0.985,0.046,0.832,0.122,1
0,0,1,0,1,-0.998,0.09,0.792,0.119,6
-0.691,0,0.584,0.416,0,-0.999,0.049,0.806,0.145,2
-0.832,0,0.585,0.415,0,-0.999,0.045,0.841,0.114,4
0.402,0.331,0.551,0.118,0,-0.999,0.041,0.796,0.162,5
-0.296,0,0.761,0.239,0,-0.988,0.118,0.737,0.144,2
0.026,0.109,0.891,0,0,0.995,0.131,0.863,0.006,3
-0.649,0,0.569,0.431,0,-0.998,0.066,0.854,0.08,20
0.25,0.167,0.833,0,0,-0.99,0.049,0.876,0.075,3
0,0,1,0,0,-0.613,0.076,0.844,0.08,7
0.511,0.216,0.784,0,0,0.999,0.16,0.752,0.089,3
0.477,0.307,0.693,0,0,-0.576,0.076,0.842,0.081,5
0,0,1,0,0,-0.999,0.07,0.789,0.141,10
0.052,0.118,0.882,0,0,0.64,0.083,0.843,0.074,2
-0.477,0.083,0.69,0.228,0,-0.995,0.101,0.764,0.135,1
0,0,1,0,0,0.993,0.084,0.864,0.053,10
-0.382,0,0.776,0.224,0,0.987,0.09,0.849,0.061,4
0.727,0.433,0.567,0,0,-0.929,0.094,0.797,0.109,1
-0.904,0,0.385,0.615,0,-0.996,0.077,0.815,0.108,3
