headline_sentiment_comp,headline_sentiment_pos,headline_sentiment_neu,headline_sentiment_neg,headline_sentiment_but,text_sentiment_comp,text_sentiment_pos,text_sentiment_neu,text_sentiment_neg,text_sentiment_but
0,0,1,0,0,0.969,0.09,0.855,0.054,6
0.743,0.412,0.588,0,0,0.982,0.1,0.821,0.079,3
0,0,1,0,0,-0.987,0.053,0.876,0.072,4
0,0,1,0,0,0.999,0.113,0.85,0.037,10
0.202,0.231,0.769,0,0,-0.974,0.071,0.849,0.08,4
-0.527,0,0.746,0.254,0,0.933,0.07,0.87,0.06,4
0,0,1,0,0,0.993,0.099,0.891,0.01,0
0.361,0.152,0.848,0,0,0.98,0.086,0.863,0.051,3
0,0,1,0,0,0.88,0.074,0.867,0.059,0
-0.681,0,0.699,0.301,0,0.924,0.071,0.888,0.041,1
-0.735,0,0.64,0.36,0,-0.997,0.062,0.82,0.118,4
0,0,1,0,0,0.086,0.071,0.862,0.066,3
-0.318,0,0.827,0.173,0,0.691,0.045,0.936,0.018,0
0,0,1,0,0,-0.931,0.089,0.813,0.098,3
0,0,1,0,0,-0.625,0.043,0.908,0.049,1
0.586,0.297,0.703,0,0,0.985,0.061,0.893,0.046,2
0.459,0.273,0.727,0,0,0.89,0.101,0.86,0.039,2
-0.527,0,0.614,0.386,0,0.936,0.086,0.849,0.065,2
-0.052,0,0.882,0.118,0,-0.999,0.076,0.796,0.128,15
0,0,1,0,0,0.478,0.041,0.923,0.036,1
-0.402,0,0.722,0.278,0,0.967,0.064,0.899,0.038,1
0.402,0.252,0.748,0,0,0.591,0.09,0.821,0.089,2
0,0,1,0,0,0.997,0.121,0.825,0.054,6
0.572,0.291,0.709,0,0,-0.994,0.053,0.859,0.088,6
-0.296,0,0.804,0.196,0,0.925,0.111,0.784,0.105,4
0,0,1,0,0,0.994,0.119,0.813,0.068,2
0,0,1,0,0,-0.944,0.031,0.906,0.063,1
0,0,1,0,0,-0.999,0.059,0.793,0.148,2
0,0,1,0,0,-0.996,0.061,0.855,0.084,5
0,0,1,0,0,-0.881,0.08,0.835,0.085,6
0.178,0.175,0.825,0,0,0.99,0.081,0.867,0.052,2
0,0,1,0,0,0.992,0.071,0.887,0.042,5
-0.273,0,0.826,0.174,0,0.986,0.032,0.945,0.023,2
-0.477,0,0.721,0.279,0,-0.999,0.053,0.802,0.145,3
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.527,0,0.614,0.386,0,0,0,1,0,0
0.572,0.316,0.684,0,0,0,0,1,0,0
-0.71,0,0.604,0.396,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0
-0.273,0.185,0.494,0.321,0,0,0,1,0,0
-0.681,0,0.377,0.623,0,0,0,1,0,0
-0.34,0,0.673,0.327,0,0,0,1,0,0
0.318,0.365,0.635,0,0,0,0,1,0,0
-0.459,0,0.727,0.273,0,0,0,1,0,0
0.382,0.245,0.755,0,0,0,0,1,0,0
